CTV3ID,CTV3Term,classificationcode,classificationkey
XE0dD,(Cirrhos &/or chron liver dis) or (alcoholic liver disease),1,Liver disease/failure
J615.,(Cirrhosis - non alcoholic) or (portal cirrhosis),1,Liver disease/failure
J615z,(Liver cirrhos: [named vars] or [NOS]) or (hepat fibrosis),1,Liver disease/failure
AyuB2,"[X]Chronic viral hepatitis, unspecified",1,Liver disease/failure
Jyu71,[X]Other and unspecified cirrhosis of liver,1,Liver disease/failure
AyuB1,[X]Other chronic viral hepatitis,1,Liver disease/failure
AyuB3,[X]Unspecified viral hepatitis with coma,1,Liver disease/failure
J611.,Acute alcoholic hepatitis,1,Liver disease/failure
J6000,Acute hepatic failure,1,Liver disease/failure
XaJxp,Acute hepatic failure due to drugs,1,Liver disease/failure
XE0b4,Alcoholic cirrhosis of liver,1,Liver disease/failure
J610.,Alcoholic fatty liver,1,Liver disease/failure
X3072,Alcoholic fibrosis and sclerosis of liver,1,Liver disease/failure
X3073,Alcoholic hepatic failure,1,Liver disease/failure
J617.,Alcoholic hepatitis,1,Liver disease/failure
X306r,Alcoholic hepatitis,1,Liver disease/failure
XE0dF,Alcoholic liver damage NOS,1,Liver disease/failure
J613.,Alcoholic liver damage unspecified,1,Liver disease/failure
X3071,Alcoholic liver disease,1,Liver disease/failure
XaJTk,Autoimmune hepatitis,1,Liver disease/failure
J615D,Bacterial portal cirrhosis,1,Liver disease/failure
J616.,Biliary cirrhosis,1,Liver disease/failure
XE0dJ,Biliary cirrhosis (& [primary]),1,Liver disease/failure
J616z,Biliary cirrhosis NOS,1,Liver disease/failure
J6156,Capsular portal cirrhosis,1,Liver disease/failure
Xa9C7,Cardiac cirrhosis,1,Liver disease/failure
XE0b7,Cardiac portal cirrhosis,1,Liver disease/failure
J6141,Chronic active hepatitis,1,Liver disease/failure
J6142,Chronic aggressive hepatitis,1,Liver disease/failure
XaBE3,Chronic alcoholic hepatitis,1,Liver disease/failure
X307C,Chronic hepatic failure,1,Liver disease/failure
J614.,Chronic hepatitis,1,Liver disease/failure
XE0dH,Chronic hepatitis (& [NOS]/[active B]/[active]/[persistent]),1,Liver disease/failure
J614z,Chronic hepatitis NOS,1,Liver disease/failure
J614y,Chronic hepatitis unspecified,1,Liver disease/failure
J61z.,Chronic liver disease NOS,1,Liver disease/failure
X307G,Chronic lobular hepatitis,1,Liver disease/failure
X306l,Chronic non-A non-B hepatitis,1,Liver disease/failure
J6140,Chronic persistent hepatitis,1,Liver disease/failure
X306h,Chronic viral hepatitis,1,Liver disease/failure
X306i,Chronic viral hepatitis B,1,Liver disease/failure
X306j,Chronic viral hepatitis B with hepatitis D,1,Liver disease/failure
A7071,Chronic viral hepatitis B without delta-agent,1,Liver disease/failure
A7072,Chronic viral hepatitis C,1,Liver disease/failure
X306k,Chronic viral hepatitis C,1,Liver disease/failure
J61y0,Chronic yellow atrophy,1,Liver disease/failure
XE0b5,Cirrhosis - non-alcoholic,1,Liver disease/failure
J61..,Cirrhosis and chronic liver disease,1,Liver disease/failure
X307L,Cirrhosis of liver,1,Liver disease/failure
X307M,Cirrhosis of liver NOS,1,Liver disease/failure
J6151,Cirrhosis of liver: [multilobular portal] or [postnecrotic],1,Liver disease/failure
XE2up,Cirrhosis secondary to cholestasis,1,Liver disease/failure
J6157,Cirrhosis: [cardiac portal] or [congestive],1,Liver disease/failure
J612.,Cirrhosis: [florid] or [alcoholic],1,Liver disease/failure
J6158,Cirrhosis: [juv portal] or [childh funct] or [Indian childh],1,Liver disease/failure
