CTV3ID,CTV3Term
G63..,Infarction - precerebral
G630.,Basilar artery occlusion
G631.,Carotid artery occlusion
G632.,Vertebral artery occlusion
G63y0,Cerebral infarct due to thrombosis of precerebral arteries
G63y1,Cerebral infarction due to embolism of precerebral arteries
G64..,Cerebral arterial occlusion
G640.,Occlusive stroke
G640.,Cerebral thrombosis
G6400,Cerebral infarction due to thrombosis of cerebral arteries
G641.,Cerebral embolism
G641.,Cerebral embolus
G6410,Cerebral infarction due to embolism of cerebral arteries
G64z.,Infarct (& [cerebell] or [cerebral NOS] or [brainstem NOS])
G64z.,Cerebellar infarction
G64z1,Lateral medullary syndrome
G64z2,Left sided cerebral infarction
G64z3,Right sided cerebral infarction
G64z4,Infarction of basal ganglia
G650.,Basilar artery syndrome
G654.,Multiple and bilateral precerebral artery syndromes
G660.,Middle cerebral artery syndrome
G661.,Anterior cerebral artery syndrome
G662.,Posterior cerebral artery syndrome
G664.,Cerebellar stroke syndrome
G665.,Pure motor lacunar syndrome
G666.,Pure sensory lacunar syndrome
G667.,Left sided CVA
G668.,Right sided CVA
G6770,Occlusion and stenosis of middle cerebral artery
G6771,Occlusion and stenosis of anterior cerebral artery
G6772,Occlusion and stenosis of posterior cerebral artery
G6773,Occlusion and stenosis of cerebellar arteries
G721.,Basilar artery occlusion
G722.,Carotid artery occlusion
G723.,Vertebral artery occlusion
G73..,Cerebral arterial occlusion
G731.,Cerebral thrombosis
G732.,Cerebral embolism
Gyu65,[X]Occlusion and stenosis of other precerebral arteries
X00D4,Infarction - precerebral
XE0VH,Carotid artery occlusion
XE0VI,Cerebral arterial occlusion
Xa00J,Cerebellar infarction
Xa00M,Lateral medullary syndrome
XaBEC,Left sided cerebral infarction
XaBED,Right sided cerebral infarction
XaJgQ,Infarction of basal ganglia
XaQbK,Pure motor lacunar syndrome
XaQbM,Pure sensory lacunar syndrome
