SNOMEDID,DMD_description
31078011000001108,Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection pre-filled syringes (Otsuka Pharmaceuticals (U.K.) Ltd)
31078111000001109,Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection pre-filled syringes (Otsuka Pharmaceuticals (U.K.) Ltd)
23636811000001103,Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection vials (Otsuka Pharmaceuticals (U.K.) Ltd)
23636911000001108,Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection vials (Otsuka Pharmaceuticals (U.K.) Ltd)
31077811000001101,Aripiprazole 400mg powder and solvent for suspension for injection pre-filled syringes
31087211000001107,Aripiprazole 400mg powder and solvent for suspension for injection pre-filled syringes
23636711000001106,Aripiprazole 400mg powder and solvent for suspension for injection vials
23661211000001102,Aripiprazole 400mg powder and solvent for suspension for injection vials
39936411000001102,Clopixol 10mg tablets (Pilsco Ltd)
39936511000001103,Clopixol 10mg tablets (Pilsco Ltd)
14715911000001101,Clopixol 10mg tablets (Sigma Pharmaceuticals Plc)
14716011000001109,Clopixol 10mg tablets (Sigma Pharmaceuticals Plc)
11539311000001101,Clopixol 10mg tablets (Waymade Healthcare Plc)
11539411000001108,Clopixol 10mg tablets (Waymade Healthcare Plc)
37742711000001109,Clopixol 200mg/1ml solution for injection ampoules (CST Pharma Ltd)
37742811000001101,Clopixol 200mg/1ml solution for injection ampoules (CST Pharma Ltd)
178611000001106,Clopixol 200mg/1ml solution for injection ampoules (Lundbeck Ltd)
2761911000001105,Clopixol 200mg/1ml solution for injection ampoules (Lundbeck Ltd)
18222011000001109,Clopixol 25mg tablets (Necessity Supplies Ltd)
18222111000001105,Clopixol 25mg tablets (Necessity Supplies Ltd)
19869011000001100,Clopixol 2mg tablets (Lexon (UK) Ltd)
19869111000001104,Clopixol 2mg tablets (Lexon (UK) Ltd)
16509311000001106,Clopixol 2mg tablets (Mawdsley-Brooks & Company Ltd)
16511111000001107,Clopixol 2mg tablets (Mawdsley-Brooks & Company Ltd)
14714911000001100,Clopixol 2mg tablets (Sigma Pharmaceuticals Plc)
14715011000001100,Clopixol 2mg tablets (Sigma Pharmaceuticals Plc)
5351411000001105,Clopixol 2mg tablets (Waymade Healthcare Plc)
5351511000001109,Clopixol 2mg tablets (Waymade Healthcare Plc)
32911000001106,Clopixol Conc 500mg/1ml solution for injection ampoules (Lundbeck Ltd)
2762911000001104,Clopixol Conc 500mg/1ml solution for injection ampoules (Lundbeck Ltd)
3102911000001100,Depixol 20mg/1ml solution for injection ampoules (Lundbeck Ltd)
3103311000001106,Depixol 20mg/1ml solution for injection ampoules (Lundbeck Ltd)
3102111000001103,Depixol 40mg/2ml solution for injection ampoules (Lundbeck Ltd)
3102411000001108,Depixol 40mg/2ml solution for injection ampoules (Lundbeck Ltd)
3101311000001105,Depixol Conc 100mg/1ml solution for injection ampoules (Lundbeck Ltd)
3101411000001103,Depixol Conc 100mg/1ml solution for injection ampoules (Lundbeck Ltd)
3100711000001101,Depixol Conc 50mg/0.5ml solution for injection ampoules (Lundbeck Ltd)
3100911000001104,Depixol Conc 50mg/0.5ml solution for injection ampoules (Lundbeck Ltd)
3104011000001105,Depixol Low Volume 200mg/1ml solution for injection ampoules (Lundbeck Ltd)
3104211000001100,Depixol Low Volume 200mg/1ml solution for injection ampoules (Lundbeck Ltd)
3101111000001108,Flupentixol 100mg/1ml solution for injection ampoules
36068611000001107,Flupentixol 100mg/1ml solution for injection ampoules
3103611000001101,Flupentixol 200mg/1ml solution for injection ampoules
36068711000001103,Flupentixol 200mg/1ml solution for injection ampoules
3102711000001102,Flupentixol 20mg/1ml solution for injection ampoules
36068811000001106,Flupentixol 20mg/1ml solution for injection ampoules
33643111000001103,Flupentixol 20mg/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
33643211000001109,Flupentixol 20mg/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
3102011000001104,Flupentixol 40mg/2ml solution for injection ampoules
36068911000001101,Flupentixol 40mg/2ml solution for injection ampoules
33643311000001101,Flupentixol 40mg/2ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
33643411000001108,Flupentixol 40mg/2ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
3100311000001100,Flupentixol 50mg/0.5ml solution for injection ampoules
36058011000001108,Flupentixol 50mg/0.5ml solution for injection ampoules
33643511000001107,Flupentixol 50mg/0.5ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
33643611000001106,Flupentixol 50mg/0.5ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
1133211000001104,Fluphenazine decanoate 100mg/1ml solution for injection ampoules
36058111000001109,Fluphenazine decanoate 100mg/1ml solution for injection ampoules
58111000001107,Fluphenazine decanoate 100mg/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
2758911000001107,Fluphenazine decanoate 100mg/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
933411000001103,Fluphenazine decanoate 100mg/1ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd)
2759211000001108,Fluphenazine decanoate 100mg/1ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd)
461511000001107,Fluphenazine decanoate 100mg/1ml solution for injection ampoules (Hospira UK Ltd)
