CTV3ID,CTV3Term,classificationcode,classificationkey
G801.,(Deep vein phlebitis/thrombophleb leg) or (deep vein thromb),1,DVT
XE0XS,(Deep ven thromb leg)(nonpuer milk-leg)(deep thrombophl leg),1,DVT
L413.,Antenatal deep vein thrombosis,1,DVT
Xa6Yr,Axillary vein thrombosis,1,DVT
XaIIo,Deep vein thrombosis of leg related to air travel,1,DVT
XaJxo,Deep vein thrombosis of leg related to intravenous drug use,1,DVT
Xa9Bs,Deep vein thrombosis of lower limb,1,DVT
XaQIV,Deep venous thrombosis of peroneal vein,1,DVT
X205n,Ileofemoral deep vein thrombosis,1,DVT
X205m,Lower venous segment thrombosis,1,DVT
X76Lg,Phlegmasia alba dolens,1,DVT
X76Lh,Phlegmasia caerula dolens,1,DVT
Xacve,Provoked deep vein thrombosis,1,DVT
XaZ43,Recurrent deep vein thrombosis,1,DVT
J4202,Superior mesenteric vein thrombosis,1,DVT
Xacvd,Unprovoked deep vein thrombosis,1,DVT
