SNOMEDID,DMD_description
789211000001102,Arbil MR 200mg tablets (Ranbaxy (UK) Ltd)
2086811000001105,Arbil MR 200mg tablets (Ranbaxy (UK) Ltd)
210911000001107,Arbil MR 400mg tablets (Ranbaxy (UK) Ltd)
2152011000001100,Arbil MR 400mg tablets (Ranbaxy (UK) Ltd)
19496211000001108,Asenapine 10mg sublingual tablets sugar free
19504311000001103,Asenapine 10mg sublingual tablets sugar free
19496511000001106,Asenapine 5mg sublingual tablets sugar free
19504411000001105,Asenapine 5mg sublingual tablets sugar free
37573711000001104,Belvo 250mg gastro-resistant tablets (Consilient Health Ltd)
37574011000001104,Belvo 250mg gastro-resistant tablets (Consilient Health Ltd)
37574111000001103,Belvo 500mg gastro-resistant tablets (Consilient Health Ltd)
37574211000001109,Belvo 500mg gastro-resistant tablets (Consilient Health Ltd)
879511000001105,Camcolit 250 tablets (Essential Pharma Ltd)
2747411000001101,Camcolit 250 tablets (Essential Pharma Ltd)
11922311000001102,Camcolit 250 tablets (Waymade Healthcare Plc)
11922411000001109,Camcolit 250 tablets (Waymade Healthcare Plc)
39858611000001107,Camcolit 400 modified-release tablets (CST Pharma Ltd)
39858711000001103,Camcolit 400 modified-release tablets (CST Pharma Ltd)
250211000001105,Camcolit 400 modified-release tablets (Essential Pharma Ltd)
2754811000001105,Camcolit 400 modified-release tablets (Essential Pharma Ltd)
37503111000001105,Camcolit 400 modified-release tablets (Mawdsley-Brooks & Company Ltd)
37503211000001104,Camcolit 400 modified-release tablets (Mawdsley-Brooks & Company Ltd)
39936211000001101,Camcolit 400 modified-release tablets (Pilsco Ltd)
39936311000001109,Camcolit 400 modified-release tablets (Pilsco Ltd)
14305911000001102,Camcolit 400 modified-release tablets (Sigma Pharmaceuticals Plc)
14306211000001100,Camcolit 400 modified-release tablets (Sigma Pharmaceuticals Plc)
11922511000001108,Camcolit 400 modified-release tablets (Waymade Healthcare Plc)
11922611000001107,Camcolit 400 modified-release tablets (Waymade Healthcare Plc)
24108311000001104,Carbagen 100mg tablets (Mylan)
24108411000001106,Carbagen 100mg tablets (Mylan)
24108611000001109,Carbagen 100mg tablets (Mylan)
24108711000001100,Carbagen 100mg tablets (Mylan)
24108811000001108,Carbagen 200mg tablets (Mylan)
24108911000001103,Carbagen 200mg tablets (Mylan)
24109011000001107,Carbagen 200mg tablets (Mylan)
24109111000001108,Carbagen 200mg tablets (Mylan)
24109211000001102,Carbagen 400mg tablets (Mylan)
24109311000001105,Carbagen 400mg tablets (Mylan)
24109411000001103,Carbagen 400mg tablets (Mylan)
369911000001109,Carbagen SR 200mg tablets (Mylan)
2084911000001108,Carbagen SR 200mg tablets (Mylan)
640811000001105,Carbagen SR 400mg tablets (Mylan)
2142411000001106,Carbagen SR 400mg tablets (Mylan)
322890005,Carbamazepine 100mg chewable tablets sugar free
3159611000001107,Carbamazepine 100mg chewable tablets sugar free
322863001,Carbamazepine 100mg tablets
1109711000001103,Carbamazepine 100mg tablets
1172911000001103,Carbamazepine 100mg tablets
