SNOMEDID,DMD_description
15457611000001108,Agomelatine 25mg tablets
15499111000001100,Agomelatine 25mg tablets
36823811000001109,Agomelatine 25mg tablets (A A H Pharmaceuticals Ltd)
36823911000001104,Agomelatine 25mg tablets (A A H Pharmaceuticals Ltd)
36797511000001109,Agomelatine 25mg tablets (Accord Healthcare Ltd)
36797611000001108,Agomelatine 25mg tablets (Accord Healthcare Ltd)
36825311000001104,Agomelatine 25mg tablets (Alliance Healthcare (Distribution) Ltd)
36825411000001106,Agomelatine 25mg tablets (Alliance Healthcare (Distribution) Ltd)
36602711000001107,Agomelatine 25mg tablets (Aristo Pharma Ltd)
36602811000001104,Agomelatine 25mg tablets (Aristo Pharma Ltd)
37105211000001107,Agomelatine 25mg tablets (DE Pharmaceuticals)
37105311000001104,Agomelatine 25mg tablets (DE Pharmaceuticals)
38763811000001107,Agomelatine 25mg tablets (Medihealth (Northern) Ltd)
38763911000001102,Agomelatine 25mg tablets (Medihealth (Northern) Ltd)
37857811000001103,Agomelatine 25mg tablets (Neuraxpharm UK Ltd)
37858011000001105,Agomelatine 25mg tablets (Neuraxpharm UK Ltd)
36776111000001105,Agomelatine 25mg tablets (Teva UK Ltd)
36776211000001104,Agomelatine 25mg tablets (Teva UK Ltd)
37243311000001105,Agomelatine 25mg tablets (Zentiva Pharma UK Ltd)
37243411000001103,Agomelatine 25mg tablets (Zentiva Pharma UK Ltd)
893811000001100,Allegron 10mg tablets (King Pharmaceuticals Ltd)
2391711000001106,Allegron 10mg tablets (King Pharmaceuticals Ltd)
16136611000001109,Allegron 10mg tablets (Lexon (UK) Ltd)
16136711000001100,Allegron 10mg tablets (Lexon (UK) Ltd)
16259011000001109,Allegron 10mg tablets (Mawdsley-Brooks & Company Ltd)
16259111000001105,Allegron 10mg tablets (Mawdsley-Brooks & Company Ltd)
17532311000001107,Allegron 10mg tablets (Sigma Pharmaceuticals Plc)
17532411000001100,Allegron 10mg tablets (Sigma Pharmaceuticals Plc)
18544911000001108,Allegron 25mg tablets (DE Pharmaceuticals)
18545011000001108,Allegron 25mg tablets (DE Pharmaceuticals)
629711000001106,Allegron 25mg tablets (King Pharmaceuticals Ltd)
2392811000001107,Allegron 25mg tablets (King Pharmaceuticals Ltd)
16136811000001108,Allegron 25mg tablets (Lexon (UK) Ltd)
16136911000001103,Allegron 25mg tablets (Lexon (UK) Ltd)
16259211000001104,Allegron 25mg tablets (Mawdsley-Brooks & Company Ltd)
16259311000001107,Allegron 25mg tablets (Mawdsley-Brooks & Company Ltd)
17579111000001104,Allegron 25mg tablets (Necessity Supplies Ltd)
17579611000001107,Allegron 25mg tablets (Necessity Supplies Ltd)
14053811000001100,Allegron 25mg tablets (Sigma Pharmaceuticals Plc)
14053911000001105,Allegron 25mg tablets (Sigma Pharmaceuticals Plc)
17532511000001101,Allegron 25mg tablets (Sigma Pharmaceuticals Plc)
16492311000001109,Alventa XL 150mg capsules (Consilient Health Ltd)
16492411000001102,Alventa XL 150mg capsules (Consilient Health Ltd)
16492111000001107,Alventa XL 75mg capsules (Consilient Health Ltd)
16492211000001101,Alventa XL 75mg capsules (Consilient Health Ltd)
11682211000001101,Amitriptyline 1.25mg/5ml oral solution
11711211000001100,Amitriptyline 1.25mg/5ml oral solution
11682311000001109,Amitriptyline 1.25mg/5ml oral solution (Special Order)
11682411000001102,Amitriptyline 1.25mg/5ml oral solution (Special Order)
11682511000001103,Amitriptyline 100mg/5ml oral solution
11711311000001108,Amitriptyline 100mg/5ml oral solution
11682611000001104,Amitriptyline 100mg/5ml oral solution (Special Order)
11682711000001108,Amitriptyline 100mg/5ml oral solution (Special Order)
991011000001104,Amitriptyline 10mg / Perphenazine 2mg tablets
39731711000001107,Amitriptyline 10mg / Perphenazine 2mg tablets
321745007,Amitriptyline 10mg tablets
1170011000001101,Amitriptyline 10mg tablets
310911000001104,Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd)
1420111000001102,Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd)
18457211000001101,Amitriptyline 10mg tablets (Accord Healthcare Ltd)
