CTV3ID,CTV3Term
E274.,Non-organic sleep disorders (& [hypersomnia] or [insomnia])
R0053,([D]Hypersomnia with sleep apnoea) or (sleep apnoea syndr)
XE2cd,[D]Sleep disturbances (& [hypersomnia] or [insomnia])
Y7160,Hypersomnia + sleep apnoea [D]
E2743,Hypersomnia: [transient] or [NOS]
E2744,Persistent hypersomnia
R0054,[D]Hypersomnia NOS
X007w,Excessive sleep
X007x,Hypersomnia NOS
X007y,Hypersomnia of non-organic origin
X007z,Excessive daytime sleepiness - normal night sleep
X0080,Excessive day and night-time sleepiness
X0081,Postviral excessive daytime sleepiness
X0082,Excess daytime sleepiness with sleep paralysis
X76AQ,Oversleeps
XE1Yh,Transient hypersomnia
XE2nU,[D]Hypersomnia with sleep apnoea
XaC0p,[D]Hypersomnia
