icd,description
G450,Vertebro-basilar artery syndrome
G451,Carotid artery syndrome (hemispheric)
I63,Cerebral infarction
I630,Cerebral infarction due to thrombosis of precerebral arteries
I631,Cerebral infarction due to embolism of precerebral arteries
I632,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
I633,Cerebral infarction due to thrombosis of cerebral arteries
I634,Cerebral infarction due to embolism of cerebral arteries
I635,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
I639,"Cerebral infarction, unspecified"
I64X,"Stroke, not specified as haemorrhage or infarction"
I650,Occlusion and stenosis of vertebral artery
I651,Occlusion and stenosis of basilar artery
I652,Occlusion and stenosis of carotid artery
I659,Occlusion and stenosis of unspecified precerebral artery
I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction"
I660,Occlusion and stenosis of middle cerebral artery
I661,Occlusion and stenosis of anterior cerebral artery
I662,Occlusion and stenosis of posterior cerebral artery
I663,Occlusion and stenosis of cerebellar arteries
I693,Sequelae of cerebral infarction
I694,"Sequelae of stroke, not specified as haemorrhage or infarction"
