CTV3ID,CTV3Term
F4K7.,Retrobulbar haemorrhage
G60..,Subarachnoid haemorrhage
G600.,Ruptured berry aneurysm
G601.,Subarachnoid haemorrhage from carotid siphon and bifurcation
G606.,Subarachnoid haemorrhage from vertebral artery
G60z.,Subarachnoid haemorrhage NOS
G610.,Cortical haemorrhage
G611.,Internal capsule haemorrhage
G613.,Cerebellar haemorrhage
G614.,Pontine haemorrhage
G615.,Bulbar haemorrhage
G617.,"Intracerebral haemorrhage, intraventricular"
G619.,Lobar cerebral haemorrhage
G621.,Subdural haemorrhage - nontraumatic
G621.,Subdural haemorrhage - nontraumatic
G680.,Sequelae of subarachnoid haemorrhage
G681.,Sequelae of intracerebral haemorrhage
G711.,Subarachnoid haemorrhage
Gyu61,[X]Other subarachnoid haemorrhage
Gyu6E,"[X]Subarachnoid haemorrh from intracranial artery, unspecif"
Gyu6E,"[X]Subarachnoid haemorrh from intracranial artery, unspecif"
X00DM,Lobar cerebral haemorrhage
Xa1uW,Subarachnoid haemorrhage
