CTV3ID,CTV3Term
173f.,Anxiety about breathlessness
1B13.,Anxious
1B1V.,C/O - panic attack
1Bb1.,Fear of getting cancer
1P3..,Compulsive behaviour
2258.,O/E - anxious
2259.,O/E - nervous
225J.,O/E - panic attack
285..,"Neurotic condition, insight present"
E20..,Neurotic disorders
E200.,Anxiety disorder
E2000,Anxiety state unspecified
E2001,Panic disorder
E2002,Generalised anxiety disorder
E2003,Anxiety with depression
E2004,Chronic anxiety
E2005,Recurrent anxiety
E200z,Anxiety state NOS
E202.,Phobic anxiety
E2020,Phobia unspecified
E2021,Agoraphobia with panic attacks
E2022,Agoraphobia without mention of panic attacks
E2023,"Social phobia, fear of eating in public"
E2024,"Social phobia, fear of public speaking"
E2025,"Social phobia, fear of public washing"
E2026,Acrophobia
E2027,Animal phobia
E2028,Claustrophobia
E2029,Fear of crowds
E202A,Fear of flying
E202B,Cancer phobia
E202C,Dental phobia
E202E,Fear of pregnancy
E202z,Phobic disorder NOS
E203.,Obsessive-compulsive disorder
E2030,Compulsive neurosis
E2031,Obsessional neurosis
E203z,Obsessive-compulsive disorder NOS
E20z.,Nervous breakdown
E2112,Dysthymia
E261.,Psychogenic respiratory symptoms
E262.,Cardiac neurosis
E2620,Cardiovascular neurosis
E2621,Cardiac neurosis
E2623,Cardiac neurosis
E28..,Combat fatigue
E2831,Acute post-trauma stress state
E28z.,Flying phobia
E2920,Separation anxiety disorder
E29y1,Other post-traumatic stress disorder
E2D0.,Disturbance of anxiety and fearfulness childhood/adolescent
E2D00,Childhood and adolescent overanxiousness disturbance
E2D0z,Disturbance anxiety and fearfulness childhood/adolescent NOS
E31..,Panic attack
E310.,Panic attack
E311.,Chronic anxiety
E312.,Recurrent anxiety
E332.,Claustrophobia
E333.,Fear of flying
E34..,Obsessional neurosis
E482.,Cardiac neurosis
E4J6.,Anxiety with depression
Eu341,[X]Dysthymia
Eu40.,[X]Phobic anxiety disorders
Eu400,[X]Agoraphobia without history of panic disorder
Eu401,[X]Anthropophobia
Eu402,[X]Simple phobia
Eu403,[X]Needle phobia
Eu40y,[X]Other phobic anxiety disorders
Eu40z,"[X]Phobic anxiety disorder, unspecified"
Eu41.,[X]Other anxiety disorders
Eu410,[X]Panic disorder [episodic paroxysmal anxiety]
Eu411,Generalised anxiety disorder
Eu412,[X]Mixed anxiety and depress disord (& mild anxiet depressn)
Eu413,[X]Other mixed anxiety disorders
Eu41y,[X]Other specified anxiety disorders
Eu41z,"[X]Anxiety disorder, unspecified"
Eu42.,Anancastic neurosis
Eu420,[X]Predominantly obsessional thoughts or ruminations
Eu421,[X]Predominantly compulsive acts [obsessional rituals]
Eu422,[X]Mixed obsessional thoughts and acts
Eu42y,[X]Other obsessive-compulsive disorders
Eu42z,"[X]Obsessive-compulsive disorder, unspecified"
Eu430,[X]Ac stress react (& [crisis][psych shock][combat fatigue])
Eu431,[X]Traumatic neurosis
Eu433,[X]Acute post-traumatic stress disorder follow military comb
Eu434,[X]Chron post-traumatic stress disorder follow military comb
Eu435,[X]Delayed post-traumat stress disorder follow military comb
Eu43y,[X]Other reactions to severe stress
Eu43z,"[X]Reaction to severe stress, unspecified"
Eu930,[X]Separation anxiety disorder of childhood
Eu931,[X]Phobic anxiety disorder of childhood
Eu932,[X]Avoidant disorder childhood
Eu93y,[X] Childhood overanxious disorder
Ua1qS,Panic attack
Ub0qs,Anxiety management training
X00SV,Agoraphobia
X00SW,Social phobia
X00SX,Specific phobia
X00SY,Needle phobia
X00Sb,Anxiety depression
X00Sd,Stage fright
X00Se,Examination fear
X00Sf,Post-traumatic stress disorder
X00Sy,Weight fixation
X762G,Fear of flying
X762H,Flying phobia
X764L,Compulsive behaviour
XE0rb,Anxious
XE1Y7,Panic disorder
XE1YA,Phobia
XE1YB,Phobic disorder NOS
XE1YE,Neurotic disorder NOS
XE1YH,Anankastic personality disorder
XE1Ym,Acute stress reaction
XE1Yn,Acute stress reaction NOS
XE1Zj,[X]Other specified anxiety disorders
XE1aD,Childhood social anxiety disorder
XE1aE,[X]Other childhood emotional disorders
XE1aW,Panic attack
XE1bo,Acute reaction to stress (& [post-traum] or [shell-shock])
XE1hk,"Neurotic condition, insight present"
XE1jg,Insight present: [neurotic cond.] or [psychotic cond.]
Xa00s,Fear of water
Xa0Xe,Fear of crowds
Xa18j,Combat fatigue
Xa3WJ,Fear of getting cancer
Xa7lj,Cancer phobia
XaB96,Other phobias
XaIo7,C/O - panic attack
XaKVA,O/E - panic attack
XaX55,Acute post-traumatic stress disorder follow military combat
XaX56,[X]Chron post-traumatic stress disorder follow military comb
XaX58,[X]Delayed post-traumat stress disorder follow military comb
Xaafv,Anxiety about breathlessness
