CTV3ID,CTV3Term
Fyu55,[X]Other transnt cerebral ischaemic attacks+related syndroms
G65..,Transient cerebral ischaemia
G653.,Carotid artery syndrome hemispheric
G657.,Carotid territory transient ischaemic attack
G65y.,Other transient cerebral ischaemia
G65z.,Transient cerebral ischaemia NOS
G65z0,Impending cerebral ischaemia
G65z1,Intermittent cerebral ischaemia
G74..,Transient ischaemic attack
X00DU,Carotid territory transient ischaemic attack
XE0VK,Transient ischaemic attack
XE0X0,Transient cerebral ischaemia
XaEGK,Transient ischaemic attacks
