CTV3ID,CTV3Term
1BH..,Delusion
1BH0.,Delusion of persecution
1BH1.,Grandiose delusions
1BH2.,Ideas of reference
1BH3.,Paranoid ideation
1S42.,Manic mood
225E.,O/E - paranoid delusions
225F.,O/E - delusion of persecution
285..,"Psychotic condition, insight present"
E1...,Non-organic psychoses
E10..,Schizophrenic disorders
E100.,Simple schizophrenia
E1000,Unspecified schizophrenia
E1001,Subchronic schizophrenia
E1002,Chronic schizophrenic
E1003,Acute exacerbation of subchronic schizophrenia
E1004,Acute exacerbation of chronic schizophrenia
E1005,Schizophrenia in remission
E100z,Simple schizophrenia NOS
E101.,Hebephrenic schizophrenia
E1010,Unspecified hebephrenic schizophrenia
E1011,Subchronic hebephrenic schizophrenia
E1012,Chronic hebephrenic schizophrenia
E1013,Acute exacerbation of subchronic hebephrenic schizophrenia
E1014,Acute exacerbation of chronic hebephrenic schizophrenia
E1015,Hebephrenic schizophrenia in remission
E101z,Hebephrenic schizophrenia NOS
E102.,Catatonic schizophrenia
E1020,Unspecified catatonic schizophrenia
E1021,Subchronic catatonic schizophrenia
E1022,Chronic catatonic schizophrenia
E1023,Acute exacerbation of subchronic catatonic schizophrenia
E1024,Acute exacerbation of chronic catatonic schizophrenia
E1025,Catatonic schizophrenia in remission
E102z,Catatonic schizophrenia NOS
E103.,Paranoid schizophrenia
E1030,Unspecified paranoid schizophrenia
E1031,Subchronic paranoid schizophrenia
E1032,Chronic paranoid schizophrenia
E1033,Acute exacerbation of subchronic paranoid schizophrenia
E1034,Acute exacerbation of chronic paranoid schizophrenia
E1035,Paranoid schizophrenia in remission
E103z,Paranoid schizophrenia NOS
E104.,Acute schizophrenic episode
E105.,Latent schizophrenia
E1050,Unspecified latent schizophrenia
E1051,Subchronic latent schizophrenia
E1052,Chronic latent schizophrenia
E1053,Acute exacerbation of subchronic latent schizophrenia
E1054,Acute exacerbation of chronic latent schizophrenia
E1055,Latent schizophrenia in remission
E105z,Latent schizophrenia NOS
E106.,Residual schizophrenia
E107.,Schizo-affective schizophrenia
E1070,Unspecified schizo-affective schizophrenia
E1071,Subchronic schizo-affective schizophrenia
E1072,Chronic schizo-affective schizophrenia
E1073,Acute exacerbation subchronic schizo-affective schizophrenia
E1074,Acute exacerbation of chronic schizo-affective schizophrenia
E1075,Schizo-affective schizophrenia in remission
E107z,Schizoaffective schizophrenia NOS
E10y.,Other schizophrenia
E10y0,Atypical schizophrenia
E10y1,Cenesthopathic schizophrenia
E10yz,Other schizophrenia NOS
E10z.,Schizophrenia NOS
E11..,Affective psychoses
E110.,"Manic disorder, single episode"
E1100,"Single manic episode, unspecified"
E1101,"Single manic episode, mild"
E1102,"Single manic episode, moderate"
E1103,"Single manic episode, severe without mention of psychosis"
E1104,"Single manic episode, severe, with psychosis"
E1105,Single manic episode in partial or unspecified remission
E1106,Single manic episode in full remission
E110z,"Manic disorder, single episode NOS"
E111.,Recurrent manic episodes
E1110,"Recurrent manic episodes, unspecified"
E1111,"Recurrent manic episodes, mild"
E1112,"Recurrent manic episodes, moderate"
E1113,"Recurrent manic episodes, severe without mention psychosis"
E1114,"Recurrent manic episodes, severe, with psychosis"
E1115,"Recurrent manic episodes, partial or unspecified remission"
E1116,"Recurrent manic episodes, in full remission"
E111z,Recurrent manic episode NOS
E1124,"Single major depressive episode, severe, with psychosis"
E1134,"Recurrent major depressive episodes, severe, with psychosis"
E114.,"Bipolar affective disorder, current episode manic"
E1140,"Bipolar affective disorder, currently manic, unspecified"
E1141,"Bipolar affective disorder, currently manic, mild"
E1142,"Bipolar affective disorder, currently manic, moderate"
E1143,"Bipolar affect disord, currently manic, severe, no psychosis"
E1144,"Bipolar affect disord, currently manic,severe with psychosis"
E1145,"Bipolar affect disord,currently manic, part/unspec remission"
