CTV3ID,CTV3Term
Fy03.,Sleep apnoea (& [obstructive])
Fy03.,Sleep apnoea (& [obstructive])
R0051,[D]Insomnia with sleep apnoea
R0053,([D]Hypersomnia with sleep apnoea) or (sleep apnoea syndr)
X0083,Sleep apnoea
X0083,Sleep apnoea
X0084,Obstructive sleep apnoea
X0084,Obstructive sleep apnoea
X0085,Central sleep apnoea
X0085,Central sleep apnoea
X0086,Mixed sleep apnoea
X0086,Mixed sleep apnoea
X0087,Alveolar sleep apnoea
X0087,Alveolar sleep apnoea
XaEGP,[D]Sleep apnoea syndrome
Y7160,Hypersomnia + sleep apnoea [D]
Y7303,Insomnia with sleep apnoea [D]
XE2nU,[D]Hypersomnia with sleep apnoea
